stage,mu1,mu2,case,source1_primary_abs,source1_primary_rel,source2_map_abs,source2_map_rel,source3_continuity_abs,source3_continuity_rel,consistency_abs,consistency_rel,total_secondary_abs,total_secondary_rel,decomposition_residual_abs
baseline,4.875000,0.022500,Case 1,5.674458344979e+01,6.736901315563e-03,8.160655208044e+01,4.517115333596e-02,9.582390594482e+01,5.304079437663e-02,1.121884975545e-03,6.209898220634e-07,1.145414798713e+02,6.340141347345e-02,1.113160229000e-06
baseline,4.875000,0.022500,Case 2,9.446901230780e+01,1.121566807975e-02,1.261779778528e+02,6.984248984800e-02,0.000000000000e+00,0.000000000000e+00,2.521342801003e-03,1.395622770147e-06,1.261780411690e+02,6.984252489504e-02,3.081127235183e-15
baseline,4.875000,0.022500,Case 3,5.459213285509e+01,6.481355387449e-03,4.622599785251e+01,2.558718122346e-02,9.552091217041e+01,5.287308016870e-02,1.120985958076e-03,6.204921946686e-07,1.014872901913e+02,5.617561127155e-02,9.822384000816e-07
baseline,4.560000,0.019000,Case 1,5.345845965490e+01,6.855451493447e-03,8.871543776271e+01,5.193818508845e-02,7.521800994873e+01,4.403615674141e-02,1.059145578253e-03,6.200735798210e-07,9.666546254004e+01,5.659250308265e-02,9.179451960736e-07
baseline,4.560000,0.019000,Case 2,8.857446647506e+01,1.135868789332e-02,1.923921510073e+02,1.126354037198e-01,0.000000000000e+00,0.000000000000e+00,2.346882290518e-03,1.373975148629e-06,1.923921317445e+02,1.126353924424e-01,5.362338644425e-15
baseline,4.560000,0.019000,Case 3,5.973597508087e+01,7.660472864805e-03,6.329857478209e+01,3.705795942371e-02,1.055650634766e+02,6.180274757122e-02,1.071671530162e-03,6.274068605337e-07,1.155829319800e+02,6.766767842929e-02,1.150946182658e-06
baseline,5.190000,0.026000,Case 1,9.831633199477e+01,1.044120012128e-02,1.331165948225e+02,6.796531425127e-02,1.701111602783e+02,8.685362243066e-02,1.160623420635e-03,5.925792769567e-07,2.083350245321e+02,1.063695734612e-01,2.312366783209e-06
baseline,5.190000,0.026000,Case 2,2.230797504260e+02,2.369108234557e-02,2.230983110218e+02,1.139072618087e-01,0.000000000000e+00,0.000000000000e+00,2.770712355959e-03,1.414642075421e-06,2.230984895384e+02,1.139073529539e-01,7.100612037700e-15
baseline,5.190000,0.026000,Case 3,6.659449515818e+01,7.072339221921e-03,8.763424839815e+01,4.474340137305e-02,1.184862823486e+02,6.049551842150e-02,1.180961075265e-03,6.029630693749e-07,1.337432953327e+02,6.828528861044e-02,1.443618663652e-06
enriched,4.875000,0.022500,Case 1,5.634956322560e+01,6.690003231090e-03,6.038074471083e+01,3.342216780809e-02,9.530844879150e+01,5.275547667214e-02,1.094770404279e-03,6.059812666834e-07,1.079748805728e+02,5.976664572199e-02,9.757696688899e-07
enriched,4.875000,0.022500,Case 2,1.392662099880e+02,1.653413693858e-02,7.845497575219e+01,4.342668142845e-02,0.000000000000e+00,0.000000000000e+00,1.800932360277e-03,9.968585820608e-07,7.845483346394e+01,4.342660266854e-02,1.444294554386e-15
enriched,4.875000,0.022500,Case 3,2.367197284940e+01,2.810413529112e-03,4.238413715899e+01,2.346062062191e-02,2.963181686401e+01,1.640191025186e-02,1.031287259993e-03,5.708418474618e-07,4.724828503003e+01,2.615304131278e-02,1.924928490619e-07
enriched,4.560000,0.019000,Case 1,3.029713086147e+01,3.885269279217e-03,5.956578083197e+01,3.487260647987e-02,5.103882980347e+01,2.988052875443e-02,1.074188316094e-03,6.288803052563e-07,6.942470275558e+01,4.064448254287e-02,3.843530471367e-07
enriched,4.560000,0.019000,Case 2,1.396932276993e+02,1.791409914609e-02,7.469139585529e+01,4.372785211096e-02,0.000000000000e+00,0.000000000000e+00,1.650320372550e-03,9.661750776006e-07,7.469139913724e+01,4.372785403236e-02,1.229041482851e-15
enriched,4.560000,0.019000,Case 3,2.157634866698e+01,2.766926182442e-03,4.221142892146e+01,2.471255356970e-02,2.732337570190e+01,1.599638777912e-02,9.918457065558e-04,5.806730732036e-07,4.509363713325e+01,2.639993366208e-02,1.801537848763e-07
enriched,5.190000,0.026000,Case 1,9.102000295377e+01,9.666329556826e-03,6.820717939995e+01,3.482452648592e-02,1.513354797363e+02,7.726732682251e-02,1.114486620185e-03,5.690232196122e-07,1.605521854340e+02,8.197309848035e-02,1.750476293489e-06
enriched,5.190000,0.026000,Case 2,1.319439093445e+02,1.401245077291e-02,9.299026393024e+01,4.747802119456e-02,0.000000000000e+00,0.000000000000e+00,1.877644598734e-03,9.586686421430e-07,9.299031313717e+01,4.747804631813e-02,1.634216319756e-15
enriched,5.190000,0.026000,Case 3,2.806639350579e+01,2.980652607057e-03,4.681692719420e+01,2.390330952558e-02,3.507106781006e+01,1.790622835581e-02,1.077922423129e-03,5.503546445441e-07,5.533410440565e+01,2.825192305857e-02,2.283329625161e-07
