model,model_path,reference_source,mu1,mu2,n_tot,n_p,n_s,nt,rel_frob_percent,mean_mode_rel_percent,median_mode_rel_percent,p95_mode_rel_percent,max_mode_rel_percent,qN_ref_path
case2_model,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage3/models/case2_model.pt,linear_runs,4.875,0.0225,151,10,141,501,6.984250206006302,29.462429198116684,21.743119031491233,70.8656704515778,80.53836348346422,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
case2_model,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage3/models/case2_model.pt,linear_runs,4.56,0.019,151,10,141,501,11.263539085896422,35.39621802744899,29.422408270151223,75.37837052298686,84.25270829837393,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
case2_model,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage3/models/case2_model.pt,linear_runs,5.19,0.026,151,10,141,501,11.390727265712526,39.17414950702694,36.06829605060424,75.96313207187343,93.52929313651335,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
case2_model_n20,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage3/models/case2_model_n20.pt,linear_runs,4.875,0.0225,151,20,131,501,11.297423127946091,29.309340637486184,20.850047506402586,70.14903599033212,77.64587864864183,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
case2_model_n20,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage3/models/case2_model_n20.pt,linear_runs,4.56,0.019,151,20,131,501,103.65415857870352,138.23837755216462,136.9860013496695,207.55325289280825,307.5496575001676,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
case2_model_n20,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage3/models/case2_model_n20.pt,linear_runs,5.19,0.026,151,20,131,501,69.95924964764237,110.86707843419859,113.48952528254523,161.8192888963148,198.04772831903318,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
case2_model_enriched,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results_Enrichment/Stage3/prom_coeff_dataset_ntot151_enriched_lhs20/models/case2_model_enriched.pt,linear_runs,4.875,0.0225,151,10,141,501,4.34266548006845,15.060778056550843,12.786627517294466,32.895975022303894,44.021334425841,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
case2_model_enriched,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results_Enrichment/Stage3/prom_coeff_dataset_ntot151_enriched_lhs20/models/case2_model_enriched.pt,linear_runs,4.56,0.019,151,10,141,501,4.372784226368872,14.414919026302108,11.606377307009277,33.71004327207489,46.00469994546838,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
case2_model_enriched,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results_Enrichment/Stage3/prom_coeff_dataset_ntot151_enriched_lhs20/models/case2_model_enriched.pt,linear_runs,5.19,0.026,151,10,141,501,4.747800088351369,15.244048506295197,12.809817041852263,33.49602818826887,45.61960737988317,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
case2_model_enriched_n20,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results_Enrichment/Stage3/prom_coeff_dataset_ntot151_enriched_lhs20/models/case2_model_enriched_n20.pt,linear_runs,4.875,0.0225,151,20,131,501,5.991708633936793,13.581139908082514,12.461011227727926,26.278843673204282,29.25269507227386,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
case2_model_enriched_n20,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results_Enrichment/Stage3/prom_coeff_dataset_ntot151_enriched_lhs20/models/case2_model_enriched_n20.pt,linear_runs,4.56,0.019,151,20,131,501,6.123845529941128,12.95432112913338,11.508463482501156,26.614334426111927,34.37894137003134,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
case2_model_enriched_n20,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results_Enrichment/Stage3/prom_coeff_dataset_ntot151_enriched_lhs20/models/case2_model_enriched_n20.pt,linear_runs,5.19,0.026,151,20,131,501,6.126479648752702,13.245937181989092,12.0106745076625,27.136912165463848,34.565991539090376,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
